Driver,LapNumber,Compound,TyreLife,LapTimeSeconds
44,47,HARD,11,80.933
33,62,HARD,27,80.695
77,65,SOFT,2,79.865
11,55,SOFT,8,80.643
4,55,MEDIUM,33,81.696
16,63,HARD,38,81.496
31,34,HARD,12,81.886
14,66,HARD,26,81.032
3,64,HARD,23,81.987
10,65,MEDIUM,41,82.014
55,60,MEDIUM,39,82.325
99,60,HARD,38,82.167
5,60,MEDIUM,38,82.416
18,59,MEDIUM,20,81.97
22,61,HARD,40,82.058
63,60,HARD,32,82.654
47,61,HARD,29,82.755
6,60,HARD,36,83.155
9,64,SOFT,21,83.641
