Driver,LapNumber,Compound,TyreLife,LapTimeSeconds
1,40,HARD,7,81.644
44,71,MEDIUM,41,81.334
16,38,HARD,7,82.332
55,57,HARD,27,82.539
4,71,MEDIUM,38,81.944
63,38,MEDIUM,9,82.78
3,66,HARD,39,82.679
81,53,MEDIUM,22,82.76
23,65,MEDIUM,32,82.773
31,66,MEDIUM,32,82.976
10,43,HARD,15,83.23
22,11,HARD,2,82.501
27,43,MEDIUM,9,83.222
24,39,HARD,18,83.567
77,43,HARD,12,83.166
2,24,HARD,2,83.003
18,43,HARD,14,83.257
14,40,HARD,12,83.531
20,25,HARD,2,83.146
