Driver,LapNumber,Compound,TyreLife,LapTimeSeconds
16,33,HARD,18,83.226
81,53,HARD,15,81.943
4,53,HARD,21,81.432
55,53,HARD,34,83.219
44,53,HARD,16,81.512
1,43,MEDIUM,2,81.745
63,49,HARD,16,82.036
11,47,MEDIUM,12,82.971
23,53,HARD,36,83.918
20,51,HARD,37,83.437
14,46,HARD,13,82.944
43,53,HARD,37,83.728
3,52,HARD,42,84.219
31,52,MEDIUM,21,84.343
10,51,HARD,21,83.755
77,52,MEDIUM,20,83.609
27,44,HARD,12,83.275
24,17,HARD,3,85.092
18,52,SOFT,2,82.232
22,4,HARD,5,86.198
