Driver,LapNumber,Compound,TyreLife,LapTimeSeconds
1,70,MEDIUM,25,75.569
4,67,MEDIUM,20,75.558
63,70,MEDIUM,16,74.895
44,70,HARD,16,74.856
81,65,MEDIUM,21,76.247
14,70,HARD,26,76.303
18,70,HARD,27,76.762
3,68,MEDIUM,26,77.076
10,70,HARD,30,77.013
31,70,MEDIUM,26,77.012
27,67,MEDIUM,23,76.683
20,68,MEDIUM,14,76.499
77,65,MEDIUM,23,77.25
22,70,MEDIUM,26,77.309
24,68,MEDIUM,16,77.325
55,51,MEDIUM,8,78.957
23,51,MEDIUM,7,79.359
11,51,MEDIUM,8,78.819
16,39,INTERMEDIATE,8,86.012
2,19,INTERMEDIATE,19,86.484
