Driver,LapNumber,Compound,Year,Event,SessionType,LapTimeSeconds,Energy_per_m,PC1,PC2,PC3
14,47,SOFT,2023,Singapore_Grand_Prix,R,96.456,6040.039033954136,3.662158659679426,0.10303439326519481,-1.3140876006271782
16,46,HARD,2023,Singapore_Grand_Prix,R,98.275,5318.666961094549,-0.6730737586859048,0.29041311529937547,1.391143971802731
20,48,SOFT,2023,Singapore_Grand_Prix,R,98.107,5658.358492891221,0.9674994422769921,-0.8905341809920683,-0.9616164778645458
23,46,MEDIUM,2023,Singapore_Grand_Prix,R,97.342,5193.871244366396,0.7253267260931628,-2.106305658343978,-1.027723236667406
24,46,MEDIUM,2023,Singapore_Grand_Prix,R,99.316,4980.010747735254,-3.087310468001675,-0.8138827042330271,-1.1602331966431674
27,50,HARD,2023,Singapore_Grand_Prix,R,99.923,5361.973172764536,-2.0450396100516213,1.640479956885339,0.9023216994326699
31,33,HARD,2023,Singapore_Grand_Prix,R,99.93,5604.22140421996,-2.3138215520508596,3.207306489153234,-0.8251157730447546
40,47,HARD,2023,Singapore_Grand_Prix,R,99.028,5612.5331133859145,-1.149032551884691,2.01301454137729,0.5554855811616857
44,47,MEDIUM,2023,Singapore_Grand_Prix,R,95.867,5511.80770208664,1.612668858922099,-2.6583328836163784,-0.8220789545748072
55,47,HARD,2023,Singapore_Grand_Prix,R,97.666,5634.8398733307995,0.5505069399256345,1.0906558324584068,1.242739468893173
63,46,MEDIUM,2023,Singapore_Grand_Prix,R,96.273,5599.871787984875,3.0595096571600893,-0.6496377182684508,-1.5869800813014918
77,51,MEDIUM,2023,Singapore_Grand_Prix,R,98.075,5114.454232938637,-2.0009610122694195,-2.3402948787995923,-0.9871616374091842
81,46,HARD,2023,Singapore_Grand_Prix,R,98.492,5246.436228060896,-1.8277621702102476,0.39736472374395765,1.2422649899052565
1,49,HARD,2023,Australian_Grand_Prix,R,80.342,7592.663927217435,1.2573652054567952,0.1091763808796581,1.4357663584462417
2,50,HARD,2023,Australian_Grand_Prix,R,81.456,7095.842808145378,-1.3371297727560012,0.2596894401627462,0.46385514829697333
4,46,HARD,2023,Australian_Grand_Prix,R,81.173,6711.156288232025,-1.8413686140583605,0.010166073987020314,0.9446072296521335
10,47,HARD,2023,Australian_Grand_Prix,R,80.995,7243.2943219908875,-0.754572197483849,-0.3855582937685511,1.3857729218153167
11,53,HARD,2023,Australian_Grand_Prix,R,80.235,7083.268583417231,1.5877701476379118,-0.4051923299204391,1.933866811385491
14,53,HARD,2023,Australian_Grand_Prix,R,80.476,7291.554246215056,1.2012077525000786,-0.09976451899594611,1.8006086939086607
18,50,HARD,2023,Australian_Grand_Prix,R,80.934,7475.926817253239,0.6545990339407817,0.5742842051703524,1.2868773846871497
20,52,HARD,2023,Australian_Grand_Prix,R,81.685,7014.782768807157,-1.2925543327986664,0.6643688744253865,0.9744830161735298
21,50,SOFT,2023,Australian_Grand_Prix,R,81.183,6929.712302824792,-0.3058501672408284,-2.4408588090253915,-0.9488866001584733
22,52,HARD,2023,Australian_Grand_Prix,R,81.789,7340.998991729135,0.5157708892437178,0.9527063808273737,1.3285957767342391
23,6,MEDIUM,2023,Australian_Grand_Prix,R,83.349,7127.422572938158,-2.073273777406343,1.2883239920468774,-3.2479249429268933
24,48,HARD,2023,Australian_Grand_Prix,R,81.819,7312.161979395695,-0.5837179993078626,1.307269744627475,0.9446600729030167
27,46,HARD,2023,Australian_Grand_Prix,R,81.124,6603.611999588444,-1.6450289433474607,-0.2706392583080527,1.1430352724477442
31,44,HARD,2023,Australian_Grand_Prix,R,81.203,6943.092163612271,-0.6078417822360823,0.10468772739054928,1.2974688920016548
44,49,HARD,2023,Australian_Grand_Prix,R,80.613,7794.755609768659,2.4989338787554045,0.5408478919082272,1.4876304247084764
55,53,HARD,2023,Australian_Grand_Prix,R,80.467,6954.021417171302,0.8285046328363436,-0.5077254343046537,1.815872566477947
63,16,HARD,2023,Australian_Grand_Prix,R,82.68,8787.971061813028,2.14461548919676,5.535003646910054,-1.9119718861491826
77,46,HARD,2023,Australian_Grand_Prix,R,82.233,7154.081537736217,-1.9026249167158664,1.1140251573435005,0.7205293334445612
81,53,HARD,2023,Australian_Grand_Prix,R,81.335,6350.433604278385,-0.4134161429036524,-1.1410214694144045,2.188460156576559
1,62,SOFT,2022,Dutch_Grand_Prix,R,73.652,7050.716150645888,2.68116581178069,-1.901330449983689,0.10646532580939508
3,52,SOFT,2022,Dutch_Grand_Prix,R,75.577,7291.483670419706,1.928696969730508,0.3167127997887289,-1.3491079823082461
4,63,SOFT,2022,Dutch_Grand_Prix,R,74.706,6898.837907315723,-0.23460443409830753,-1.428817877655325,-0.5176540266989528
5,50,SOFT,2022,Dutch_Grand_Prix,R,74.862,6186.836869912932,-0.5752612871939002,-2.4053378142498367,-0.8451624555809
6,62,SOFT,2022,Dutch_Grand_Prix,R,76.066,6678.047640593424,-1.8957220310713088,-0.5058382949433566,-1.237966780170911
10,65,SOFT,2022,Dutch_Grand_Prix,R,75.165,7768.284838756465,2.6751954299502567,1.7705888835700652,-1.5888088675317964
11,63,MEDIUM,2022,Dutch_Grand_Prix,R,74.404,6952.143309314958,-0.025583616139346073,-1.2830297918365539,-1.2457016328980954
14,51,SOFT,2022,Dutch_Grand_Prix,R,74.144,6774.671476221843,0.10780241701988762,-2.143945317167598,-0.7872729384137213
16,62,SOFT,2022,Dutch_Grand_Prix,R,74.413,7091.096698715946,2.3961156313845,-1.2340202177698676,-0.08453251289006278
18,65,SOFT,2022,Dutch_Grand_Prix,R,75.043,7634.975722756923,1.7401923383625513,1.512818782194532,-1.3329927098400616
20,53,SOFT,2022,Dutch_Grand_Prix,R,75.369,6976.205828726033,0.7072608506491432,-0.536578423205266,-0.7681402021345027
22,16,MEDIUM,2022,Dutch_Grand_Prix,R,77.138,6285.855911917516,-1.4279789017688151,0.1779000503252083,-2.0753509260217395
23,65,SOFT,2022,Dutch_Grand_Prix,R,75.534,7225.51396600171,0.5785892506931934,1.076172112110847,-1.5018344759938165
24,63,SOFT,2022,Dutch_Grand_Prix,R,75.94,6548.902495753086,-2.0140638720120108,-0.30356144035830407,-1.0715411162835387
31,64,SOFT,2022,Dutch_Grand_Prix,R,75.084,6558.5324229852495,-0.7194835779347186,-1.5250594872173477,-0.2694195187211209
44,54,MEDIUM,2022,Dutch_Grand_Prix,R,73.854,6446.749293070424,1.7729597031718431,-2.3365086517476485,-0.5367994983112293
47,51,SOFT,2022,Dutch_Grand_Prix,R,75.233,6559.513518218759,0.035748073673643355,-1.5138007315565585,-0.7214560631278935
55,63,SOFT,2022,Dutch_Grand_Prix,R,74.643,6784.065656755591,0.40898033187501076,-1.5579368569190606,-0.4053758142485951
63,72,SOFT,2022,Dutch_Grand_Prix,R,73.671,6828.92713321784,1.4975198004091002,-2.1451009569331543,1.0039122484901204
77,51,MEDIUM,2022,Dutch_Grand_Prix,R,76.844,6173.458168428855,-3.8569687545547944,0.6381290559519899,-1.4389148352554848
1,68,MEDIUM,2023,Canadian_Grand_Prix,R,75.594,6232.777027568253,1.379067516602628,-1.0125423794040969,-0.766616218356155
2,4,MEDIUM,2023,Canadian_Grand_Prix,R,78.437,6136.983154951739,-1.9449533223832458,1.5952014952515121,-2.9611426809501022
4,65,HARD,2023,Canadian_Grand_Prix,R,76.374,6576.920916573786,2.039665639602972,2.087829855758247,0.8934878898982591
10,67,HARD,2023,Canadian_Grand_Prix,R,76.425,6761.499984377674,1.7168602777019422,2.7993717807882645,0.6251315795110444
11,70,SOFT,2023,Canadian_Grand_Prix,R,74.481,6172.043549814435,3.675854178009216,-3.0926882233427655,0.23845798326771042
14,62,HARD,2023,Canadian_Grand_Prix,R,75.779,6343.052835583578,0.6001055434114283,-0.2481214834597224,1.547378945180774
16,47,HARD,2023,Canadian_Grand_Prix,R,75.907,5631.320379594567,-0.4086970744840377,-1.5812555115529063,1.6293315094021965
18,58,HARD,2023,Canadian_Grand_Prix,R,76.564,6663.021436735369,0.16039839140953607,1.5144232669925353,0.907327693250572
20,55,MEDIUM,2023,Canadian_Grand_Prix,R,76.126,6490.982302737984,0.4228156775331458,-0.7353185991633432,-1.8148572575216524
