RelativeTime_s,Speed,Throttle,Brake,nGear,RPM,DRS,Distance,RelativeDistance,X,Y,Driver,LapNumber,Compound,TyreLife
0.0,297.14999893333334,100.0,False,8,10666.562448,12,0.1932209591290428,4.1304460689104306e-05,870.0373626186636,-399.1281935117803,44,54,MEDIUM,18
0.1,298.0,100.0,False,8,10708.0,12,4.431666666666667,0.0009473485818808099,847.2016976134423,-434.80224763524086,44,54,MEDIUM,18
0.2,298.0,100.0,False,8,10708.0,12,4.431666666666667,0.0009473485818808099,847.2016976134423,-434.80224763524086,44,54,MEDIUM,18
0.3,301.0,100.0,False,8,10844.0,12,24.498333333333335,0.005236960062078235,738.1436881597351,-603.9649710540618,44,54,MEDIUM,18
0.4,301.0,100.0,False,8,10844.0,12,24.498333333333335,0.005236960062078235,738.1436881597351,-603.9649710540618,44,54,MEDIUM,18
0.5,303.45,100.0,False,8,10914.233333333334,12,41.03354491679078,0.00877165940273733,650.0,-743.0,44,54,MEDIUM,18
0.6,304.0,100.0,False,8,10930.0,12,44.765,0.009569325145068324,630.1079673731442,-774.4504528248694,44,54,MEDIUM,18
0.7,304.0,100.0,False,8,10930.0,12,44.765,0.009569325145068324,630.1079673731442,-774.4504528248694,44,54,MEDIUM,18
0.8,307.0,100.0,False,8,11060.0,12,65.23166666666667,0.01394444383085108,520.7157313944748,-947.1300126236101,44,54,MEDIUM,18
0.9,307.0,100.0,False,8,11060.0,12,65.23166666666667,0.01394444383085108,520.7157313944748,-947.1300126236101,44,54,MEDIUM,18
1.0,309.0,100.0,False,8,11178.0,12,82.48416666666667,0.017632476491753375,428.2180554768294,-1092.7800830587173,44,54,MEDIUM,18
1.1,309.0,100.0,False,8,11178.0,12,82.48416666666667,0.017632476491753375,428.2180554768294,-1092.7800830587173,44,54,MEDIUM,18
1.2,312.64583466666664,100.0,False,8,11226.854184533333,12,97.72103209151636,0.02088963095264998,347.0,-1221.0,44,54,MEDIUM,18
1.3,314.0,100.0,False,8,11245.0,12,103.41749999999999,0.022107353584052348,316.6769922378443,-1268.732632721391,44,54,MEDIUM,18
1.4,315.9375008,100.0,False,8,11301.1875232,12,117.055654313922,0.025022754745864833,244.0,-1383.0,44,54,MEDIUM,18
1.5,317.0,100.0,False,8,11332.0,12,124.55083333333332,0.026624984279143987,203.89630609234644,-1446.2058015347116,44,54,MEDIUM,18
1.6,317.5625002666667,100.0,False,8,11392.7500288,12,136.46292776753992,0.029171409048487928,140.0,-1547.0,44,54,MEDIUM,18
1.7,318.0,100.0,False,8,11440.0,12,145.7508333333333,0.03115686617516651,90.32680335031574,-1625.2408847374845,44,54,MEDIUM,18
1.8,318.0,100.0,False,8,11440.0,12,145.7508333333333,0.03115686617516651,90.32680335031574,-1625.2408847374845,44,54,MEDIUM,18
1.9,318.9583338666667,100.0,False,8,11451.5000064,12,155.95954007647447,0.03333916114078182,36.0,-1711.0,44,54,MEDIUM,18
2.0,320.0,100.0,False,8,11464.0,12,167.08416666666665,0.03571725047305082,-22.907212903076477,-1804.6032970290405,44,54,MEDIUM,18
2.1,320.3958336,100.0,False,8,11459.2499968,12,175.5474473676412,0.03752642918011231,-68.0,-1876.0,44,54,MEDIUM,18
2.2,321.0,100.0,False,8,11452.0,12,188.48416666666668,0.04029188597186602,-137.863115367122,-1985.371236967286,44,54,MEDIUM,18
2.3,321.3125002666667,100.0,False,8,11469.500014933334,12,195.18780589932612,0.04172490961695826,-174.0,-2042.0,44,54,MEDIUM,18
2.4,321.3125002666667,100.0,False,8,11469.500014933334,12,195.18780589932612,0.04172490961695826,-174.0,-2042.0,44,54,MEDIUM,18
2.5,322.0,100.0,False,8,11510.7500032,12,214.86934178830236,0.04593219245569266,-279.0,-2208.0,44,54,MEDIUM,18
2.6,322.0,100.0,False,8,11510.7500032,12,214.86934178830236,0.04593219245569266,-279.0,-2208.0,44,54,MEDIUM,18
