RelativeTime_s,Speed,Throttle,Brake,nGear,RPM,DRS,Distance,RelativeDistance,X,Y,Driver,LapNumber,Compound,TyreLife
0.0,280.3312512,100.0,False,7,11295.084422400001,1,0.01331239978078047,2.4805218286430846e-06,-383.3705307105798,1213.5087650739947,16,51,SOFT,8
0.1,280.3312512,100.0,False,7,11295.084422400001,1,0.01331239978078047,2.4805218286430846e-06,-383.3705307105798,1213.5087650739947,16,51,SOFT,8
0.2,281.2375008,100.0,False,7,11330.8812816,1,11.360220236903858,0.0021167689327145894,-375.0,1379.0,16,51,SOFT,8
0.3,282.0,100.0,False,7,11361.0,1,20.944444444444443,0.003902613539915818,-369.3017161758489,1498.3014078484655,16,51,SOFT,8
0.4,282.0,100.0,False,7,11361.0,1,20.944444444444443,0.003902613539915818,-369.3017161758489,1498.3014078484655,16,51,SOFT,8
0.5,284.0,100.0,False,7,11439.0,1,36.72222222222222,0.0068425133949187155,-362.2810773361681,1657.02917725804,16,51,SOFT,8
0.6,284.2785718857143,100.0,False,7,11451.814306742857,1,42.886837329164806,0.007991176490210566,-360.0,1709.0,16,51,SOFT,8
0.7,284.2785718857143,100.0,False,7,11451.814306742857,1,42.886837329164806,0.007991176490210566,-360.0,1709.0,16,51,SOFT,8
0.8,285.0,100.0,False,7,11485.0,1,58.888888888888886,0.01097286565599673,-355.1439530575408,1818.7564649325159,16,51,SOFT,8
0.9,285.0,100.0,False,7,11485.0,1,58.888888888888886,0.01097286565599673,-355.1439530575408,1818.7564649325159,16,51,SOFT,8
1.0,286.40925261716546,100.0,False,7,11547.711741463863,1,74.66218751030341,0.01391193090226522,-350.0,1932.0,16,51,SOFT,8
1.1,287.28499968,100.0,False,7,11582.83499008,1,85.84665251809767,0.015995951067703913,-345.0,2043.0,16,51,SOFT,8
1.2,287.28499968,100.0,False,7,11582.83499008,1,85.84665251809767,0.015995951067703913,-345.0,2043.0,16,51,SOFT,8
1.3,288.0,100.0,False,7,11605.0,1,97.29083333333332,0.01812836451611267,-338.4341427315034,2207.453785163527,16,51,SOFT,8
1.4,288.0,100.0,False,7,11605.0,1,97.29083333333332,0.01812836451611267,-338.4341427315034,2207.453785163527,16,51,SOFT,8
1.5,289.0,100.0,False,7,11605.0,1,116.55749999999999,0.02171835490243311,-328.8660975628967,2456.0421741626624,16,51,SOFT,8
1.6,289.0,100.0,False,7,11605.0,1,116.55749999999999,0.02171835490243311,-328.8660975628967,2456.0421741626624,16,51,SOFT,8
1.7,290.0,100.0,False,7,11633.0,1,129.44638888888886,0.024119963234688995,-326.474277042708,2508.0065135215045,16,51,SOFT,8
1.8,290.0,100.0,False,7,11648.0,1,142.33527777777778,0.026521571566944888,-322.8534854318118,2591.6275770940133,16,51,SOFT,8
1.9,290.0,100.0,False,7,11648.0,1,142.33527777777778,0.026521571566944888,-322.8534854318118,2591.6275770940133,16,51,SOFT,8
2.0,290.0,100.0,False,7,11648.0,1,142.33527777777778,0.026521571566944888,-322.8534854318118,2591.6275770940133,16,51,SOFT,8
2.1,291.04499968,100.0,False,7,11656.47039488,1,163.19272677268503,0.03040797509851336,-313.0,2814.0,16,51,SOFT,8
2.2,291.04499968,100.0,False,7,11656.47039488,1,163.19272677268503,0.03040797509851336,-313.0,2814.0,16,51,SOFT,8
2.3,291.44499968,100.0,False,7,11162.87039488,1,176.1599841617952,0.03282418596514908,-306.0,2944.0,16,51,SOFT,8
2.4,291.89499968,100.0,False,7,10607.57039488,1,190.76891459880537,0.03554629253037177,-299.0,3103.0,16,51,SOFT,8
