Driver,LapNumber,Compound,TyreLife,LapTimeSeconds
33,39,HARD,3,86.103
44,43,HARD,30,86.615
55,51,HARD,32,87.618
22,50,HARD,27,87.496
10,49,MEDIUM,16,87.342
77,51,HARD,22,86.862
4,58,MEDIUM,10,86.762
14,58,MEDIUM,22,87.607
31,58,HARD,44,88.249
16,40,MEDIUM,10,88.433
5,58,HARD,35,88.303
3,48,HARD,30,88.723
18,48,HARD,27,88.567
47,42,HARD,32,89.457
11,51,HARD,15,86.419
6,30,HARD,2,89.293
99,33,HARD,16,89.442
63,23,MEDIUM,23,90.647
7,23,HARD,2,89.698
