Driver,LapNumber,LapTimeSeconds,Compound,TyreLife,Avg_Speed_mps,Avg_Throttle,Brake_Aggression,MeanAbs_Jerk_Long,MeanAbs_Jerk_Lat,Max_Lateral_g,Max_Longitudinal_g,Energy_Index
1,39,92.608,SOFT,2,57.86634956085165,69.0654069499834,0.3915458130278225,3607.6378938359803,399.999947799218,86.31767282762222,422.4397611624528,34645155.1601905
2,42,94.735,SOFT,2,56.5768997809281,65.45400795709392,0.39072950356264147,3457.1474646302377,359.42281054003945,109.65458995520373,291.6218750362366,32623334.910899308
3,37,95.163,SOFT,2,56.38518210588264,65.40515968340421,0.3950761280975491,3494.733407318495,343.36299276455014,72.32536152404231,664.6608617746161,34534102.87192805
4,35,94.476,HARD,2,56.82150356725384,64.49973429474937,0.4041279911546433,3508.0760076013203,359.3484003876809,68.61462930234114,608.6586921483809,34000326.194945335
10,45,94.805,SOFT,2,56.67505495696142,66.53716025705894,0.40880062655881483,3566.5070573058806,366.0637183166409,132.32943426162385,709.3365234212466,36660454.329316966
11,40,94.364,SOFT,4,56.77246066067307,65.91616834646928,0.4168227086473683,3645.5510810354617,388.32360947728745,91.31862301060336,556.5089563127551,35283564.202146605
14,48,94.199,HARD,7,56.9333333306029,67.2206545344919,0.39168452853111146,3828.621857544692,389.32010126043747,79.8460580975,396.3979580557027,35421928.842768915
16,36,94.09,HARD,2,57.0084941825807,68.342728459096,0.4055346625613163,4120.782764036183,353.3537277675749,72.26126481733303,687.9937145949159,41024123.057706386
18,30,95.632,HARD,3,55.95669050959425,63.811311251295805,0.4119370830432044,3200.3221273611844,323.70621146465277,73.59230891978754,231.87963745754539,30872461.481674414
20,34,95.57,HARD,2,56.15840236286301,66.27482217511016,0.39847213076096955,3448.5045895532835,348.8396543003156,67.89642180026694,237.70555046795383,32086625.20216829
22,37,95.833,HARD,3,55.951387458511164,63.346152285943845,0.4003651234003418,3387.7119731094535,373.62664613301723,83.49514758291299,521.5270867192089,32922137.570529487
23,40,95.723,HARD,4,55.98729418467903,62.11292251431771,0.40207662036689945,3397.071525873556,361.1036393204721,80.90120539212197,290.740236689752,31636513.90279678
24,30,95.458,HARD,2,56.27825782805988,66.10701735340987,0.4192587881526731,3132.102739070149,338.26514284638114,78.54145118816463,247.6080604899195,30209109.40854457
27,46,94.834,SOFT,6,56.583984740622036,65.67435853264216,0.4080549324023457,3342.8042169831983,344.4842914306425,72.77816158755783,250.42926947075256,30511086.119304452
31,34,96.226,HARD,4,55.75996094727686,67.96467598110213,0.4145598317527215,3473.450781537391,341.4544888977179,68.42404685760428,218.54019738090622,32366018.1302015
44,39,94.722,HARD,6,56.55994437286965,65.41126000814839,0.41897881017505617,3835.876066778903,395.6693625615196,128.99801880509452,557.6293249577803,37530576.95365782
55,44,94.507,HARD,9,56.923169343839454,69.46103185629765,0.3992565548805666,3632.1823319482764,375.16661258236223,112.64824960800259,485.0744733999253,34832143.60137036
63,40,95.065,HARD,9,56.4118056907421,66.27321652716593,0.4031779233502585,3633.8243750833867,353.1517856211309,90.4900041974893,521.618982029064,35557490.498965144
77,33,96.202,HARD,3,55.778314969013216,65.29202056230129,0.4095536999647224,3640.766903903382,345.54254003589347,67.70663960178507,628.923317235131,34660811.404660724
81,39,94.983,HARD,5,56.51629283089835,63.72830464485208,0.40333587638973256,3759.1815574414636,384.68619828036054,151.18214830246635,448.3817420989773,35119301.62588231
