Driver,LapNumber,Compound,TyreLife,LapTimeSeconds
1,46,MEDIUM,2,85.456
11,55,SOFT,5,84.108
63,53,SOFT,4,84.636
55,49,SOFT,7,85.985
44,51,SOFT,6,84.253
77,36,MEDIUM,2,86.395
31,54,SOFT,5,85.935
4,53,SOFT,5,85.619
14,56,SOFT,5,86.599
22,59,SOFT,10,86.828
5,59,MEDIUM,18,87.629
3,54,SOFT,9,87.285
10,51,SOFT,8,86.987
47,32,MEDIUM,2,87.447
18,54,SOFT,8,86.876
6,52,SOFT,5,87.246
20,3,MEDIUM,2,87.537
23,56,SOFT,5,88.281
24,12,MEDIUM,2,88.415
16,25,MEDIUM,4,87.03
