RelativeTime_s,Speed,Throttle,Brake,nGear,RPM,DRS,Distance,RelativeDistance,X,Y,Driver,LapNumber,Compound,TyreLife,Speed_mps,VX,VY,AX_long,AY_lat,Jerk_long,Jerk_lat,TireEnergyProxy
0.0,253.5805568,100.0,False,6,11415.6139392,0,0.5276210396912372,0.0001239892441249,-230.27365065087207,1217.9903732132752,1,53,HARD,27,70.3840892915085,476.61805039043315,-64.2348474590085,231.24578398106777,16.50798504907474,1157.0212822588321,71.17850785568407,11915.150321766774
0.1,255.0,100.0,False,6,11473.0,0,5.728888888888886,0.0013462704281556,-178.9459961001256,1211.0279671141468,1,53,HARD,27,70.74192831781552,499.314946736647,-68.95948057103055,346.947912206951,23.625835834643148,1157.620847738155,61.72327420644945,30594.08269710817
0.2,255.0,100.0,False,6,11473.0,0,5.728888888888886,0.0013462704281556,-178.9459961001256,1211.0279671141468,1,53,HARD,27,71.12707418868538,544.7087394290744,-78.40874679507579,462.76995352869875,28.85263989036463,579.7808224752762,14.942276279564641,57649.21091140623
0.3,258.0,100.0,False,6,11232.0,0,17.195555555555558,0.0040409001447123,-65.17561561560245,1194.702469456837,1,53,HARD,27,71.53952690411809,590.1025321215021,-87.85801301912102,462.90407670200625,26.614291090556076,410.05277383556773,-20.175780925893783,86854.22417287464
0.4,259.60714057142854,100.0,False,6,11004.428895085714,0,23.715018031029334,0.0055729528181763,-1.0,1185.0,1,53,HARD,27,71.97928646411366,635.4963248139317,-97.30727924314806,544.7805082958123,24.817483705185875,1151.366606704252,-18.378759667545843,123473.85075702329
0.5,259.60714057142854,100.0,False,6,11004.428895085714,0,23.715018031029334,0.0055729528181763,-1.0,1185.0,1,53,HARD,27,72.4463528686723,697.0521284164435,-109.25549513756437,693.1773980428567,22.938539157046907,16.801466936322527,12.111627882137448,174000.30542182794
0.6,263.5624976,100.0,False,7,10554.8436184,0,39.8714134236808,0.0093696536731889,156.0,1160.0,1,53,HARD,27,72.97475842356187,771.7492076715843,-123.30718659728632,548.1408016830768,27.239809281613365,-4112.764233173323,16.78780013586513,218968.48132769475
0.7,263.5624976,100.0,False,7,10554.8436184,0,39.8714134236808,0.0093696536731889,156.0,1160.0,1,53,HARD,27,73.53882981098926,804.4476522399573,-131.93181075213602,-129.3754485918081,26.296099184219933,-3654.0072897786295,-73.22473776849012,231658.7398538807
0.8,267.3124976,100.0,False,7,10760.4686184,0,54.801439978441735,0.01287816180314,302.0,1136.0,1,53,HARD,27,74.07407588358333,745.3640759035784,-124.30942549619431,-182.6606562726492,12.594861727915342,223.4546205193699,-84.24060237415418,246413.3976986663
0.9,269.0,100.0,False,7,10853.0,0,61.56222222222223,0.014466923844529,368.862458845872,1124.8076436599445,1,53,HARD,27,74.53258155751433,767.9988409146927,-128.40675917077306,-84.68452448793411,9.4479787093891,274.308392536564,-9.95665403845754,253743.11387252592
1.0,270.04999808,100.0,False,7,10869.44996992,0,66.83242633926741,0.0157054048293641,421.0,1116.0,1,53,HARD,27,75.07476510922189,728.3474450085722,-123.38012868637293,-127.79897776533639,10.603530920223834,997.8958417462749,-47.944329273833624,263967.2347521465
1.1,272.0,100.0,False,7,10900.0,0,76.67333333333333,0.0180179862616967,517.4950356726055,1099.5298416941753,1,53,HARD,27,75.47414010069956,742.4438660025373,-126.2287323865587,114.89464386132089,-0.14088714537762545,1510.837609350325,-87.17588623676282,272630.53750450833
1.2,273.49999786666666,100.0,False,7,10959.749915022225,0,83.55681129403702,0.0196355814011887,585.0,1088.0,1,53,HARD,27,76.00201506297185,751.0060122525169,-127.20390848389457,174.36854410472858,-6.831646327128732,4602.188222875377,-70.28001126284354,286432.603287397
1.3,273.49999786666666,100.0,False,7,10959.749915022225,0,83.55681129403702,0.0196355814011887,585.0,1088.0,1,53,HARD,27,76.39762989125468,777.0560192241544,-130.7054803080939,1035.3322884363963,-14.196889397946336,4153.370358889691,-34.6405777200418,369132.57093232585
1.4,278.0,100.0,False,7,11139.0,0,104.47333333333331,0.0245508966791626,786.2288412689679,1054.1771298172396,1,53,HARD,27,76.89425481398628,955.6748909731192,-158.75117538853033,1005.0426158826667,-13.759761871137092,-5165.815837493063,24.894100341962293,467831.1477753455
1.5,278.0,100.0,False,7,11139.0,0,104.47333333333331,0.0245508966791626,786.2288412689679,1054.1771298172396,1,53,HARD,27,77.36223605960487,975.7982999094929,-160.9297338054273,2.169120937783686,-9.218069329553877,-5112.222394366297,23.98510130633812,468957.3176929186
1.6,281.0,100.0,False,7,11236.0,0,120.08444444444444,0.0282194574851336,972.4391007704868,1023.811765436383,1,53,HARD,27,77.75857596408557,956.4029314445071,-157.00272676637724,-17.401862990592697,-8.962741609869468,-3875.0596822422385,-7.423188486680239,471512.58575726626
1.7,281.0,100.0,False,7,11236.0,0,120.08444444444444,0.0282194574851336,972.4391007704868,1023.811765436383,1,53,HARD,27,78.1687214255377,972.6542729218841,-158.5970706901162,-772.8428155106641,-10.702707026889925,-5745.910332138965,-16.091291201268454,548730.9618397783
1.8,283.3875008,100.0,False,7,11299.2687712,0,135.1554240543367,0.0317610891288344,1199.0,987.0,1,53,HARD,27,78.61727745972573,804.1935371554439,-130.01526843620752,-1166.5839294183857,-12.18099985012316,3072.509551265706,-2.8281034085103407,644757.3533199581
1.9,283.3875008,100.0,False,7,11299.2687712,0,135.1554240543367,0.0317610891288344,1199.0,987.0,1,53,HARD,27,78.92439430779618,742.7169850828068,-118.95490492444537,-158.34090525752282,-11.268327708591993,6702.720805241468,2.79565188783649,657515.0661196022
2.0,285.0,100.0,False,7,11342.0,0,145.4177777777778,0.034172709184503,1261.25324963793,976.9308526035804,1,53,HARD,27,79.35503585516733,773.2802870981277,-122.78175819714363,173.9602316299081,-11.621869472555861,1035.5991790835903,3.466655236986451,672045.5374232593
2.1,287.4428544,100.0,False,7,11367.6499712,0,159.11245808288209,0.0373909149265563,1325.0,967.0,1,53,HARD,27,79.67199667568013,777.4430776760573,-122.11523635575531,48.77893055919526,-10.574996661194703,-79.09460051207546,24.643887082197676,676716.5439378647
2.2,289.0,100.0,False,7,11384.0,0,167.89555555555555,0.03945491453004,1431.6523519809484,950.3928085913116,1,53,HARD,27,80.07806745941494,783.2460936795485,-122.20618542413149,158.141311527493,-6.693092056116326,491.2571817855658,47.28169219180946,689783.3362512367
2.3,289.0,100.0,False,7,11384.0,0,167.89555555555555,0.03945491453004,1431.6523519809484,950.3928085913116,1,53,HARD,27,80.39589780139887,808.8996134291983,-125.66843690281871,147.03036691630842,-1.1186582228328097,-2830.646069857187,24.362026527300582,701910.8623282625
2.4,290.91000064,100.0,False,7,11411.69500928,0,183.386292760888,0.0430951878560451,1659.0,915.0,1,53,HARD,27,80.75533585951854,812.3379399319958,-126.49939975543589,-407.98790244394434,-1.8206867506562097,-3901.9027051438034,-47.99491115561989,735602.3883260213
