Time,AirTemp,Humidity,Pressure,Rainfall,TrackTemp,WindDirection,WindSpeed
0 days 00:00:48.798000,10.7,92.0,983.7,False,15.8,229,1.3
0 days 00:01:48.829000,10.7,92.0,983.8,False,15.9,213,1.9
0 days 00:02:48.846000,10.7,92.0,983.8,False,15.9,254,2.0
0 days 00:03:48.846000,10.7,92.0,983.8,False,16.0,240,1.5
0 days 00:04:48.861000,10.7,92.0,983.8,False,16.0,239,1.9
0 days 00:05:48.848000,10.7,92.0,983.8,False,16.0,250,1.4
0 days 00:06:48.848000,10.7,92.0,983.9,False,16.1,271,1.1
0 days 00:07:48.864000,10.8,92.0,983.9,False,16.2,221,1.6
0 days 00:08:48.866000,10.8,91.0,984.0,False,16.2,230,2.7
0 days 00:09:48.872000,10.8,91.0,983.9,False,16.1,134,2.3
0 days 00:10:48.868000,10.9,91.0,984.0,False,16.0,227,1.0
0 days 00:11:48.888000,10.8,92.0,983.9,False,16.0,225,2.4
0 days 00:12:48.883000,10.9,91.0,983.9,False,15.9,245,2.7
0 days 00:13:48.900000,10.9,91.0,984.0,False,16.0,235,2.4
0 days 00:14:48.889000,10.9,91.0,984.0,False,16.1,240,2.5
0 days 00:15:48.924000,10.9,91.0,984.0,False,16.2,248,2.6
0 days 00:16:48.917000,10.9,92.0,984.0,False,16.4,268,1.1
0 days 00:17:48.933000,10.9,92.0,984.0,False,16.4,252,1.8
0 days 00:18:48.918000,11.0,90.0,984.1,False,16.4,208,2.6
0 days 00:19:48.921000,10.9,91.0,984.1,False,16.3,242,1.8
0 days 00:20:48.922000,11.0,91.0,984.0,False,16.3,229,3.1
0 days 00:21:48.934000,11.0,90.0,984.1,False,16.1,275,2.6
0 days 00:22:48.923000,11.0,90.0,984.1,False,16.1,225,2.0
0 days 00:23:48.923000,11.0,90.0,984.1,False,16.0,203,2.8
0 days 00:24:48.936000,11.1,90.0,984.2,False,16.0,239,2.6
0 days 00:25:48.938000,11.0,90.0,984.1,False,15.9,210,1.3
0 days 00:26:48.926000,11.1,90.0,984.2,False,15.9,252,1.7
0 days 00:27:48.926000,11.1,90.0,984.3,False,16.0,226,2.2
0 days 00:28:48.941000,11.1,89.0,984.2,True,15.9,193,3.5
0 days 00:29:48.942000,11.0,89.0,984.3,True,15.8,220,3.5
0 days 00:30:48.925000,11.0,89.0,984.3,True,15.8,235,2.1
0 days 00:31:48.944000,11.0,89.0,984.3,True,15.9,244,4.2
0 days 00:32:48.975000,11.1,89.0,984.3,True,15.9,273,2.1
0 days 00:33:48.974000,11.1,89.0,984.4,True,16.1,239,2.7
0 days 00:34:48.992000,11.1,89.0,984.4,True,16.1,233,1.7
0 days 00:35:48.983000,11.2,89.0,984.4,True,16.1,233,2.1
0 days 00:36:48.994000,11.2,89.0,984.4,True,16.1,238,3.3
0 days 00:37:48.993000,11.1,89.0,984.4,True,16.1,253,2.8
0 days 00:38:48.995000,11.1,88.0,984.5,True,16.1,229,3.5
0 days 00:39:48.995000,11.1,89.0,984.4,True,15.8,257,2.8
0 days 00:40:48.996000,11.1,88.0,984.6,True,16.0,229,1.8
0 days 00:41:48.981000,11.2,89.0,984.6,True,16.0,238,1.9
0 days 00:42:48.995000,11.2,88.0,984.5,True,16.1,241,3.1
0 days 00:43:48.996000,11.3,88.0,984.5,True,16.1,222,2.1
0 days 00:44:48.999000,11.3,89.0,984.5,True,16.2,231,2.5
0 days 00:45:48.984000,11.3,88.0,984.5,True,16.2,227,3.2
0 days 00:46:48.983000,11.3,89.0,984.6,True,16.2,225,2.4
0 days 00:47:49,11.3,88.0,984.5,True,16.4,257,1.7
0 days 00:48:49.017000,11.4,88.0,984.6,True,16.4,220,1.7
0 days 00:49:49.048000,11.4,89.0,984.6,True,16.4,229,1.7
0 days 00:50:49.070000,11.4,88.0,984.7,True,16.3,243,2.8
0 days 00:51:49.080000,11.4,89.0,984.7,True,16.1,199,1.9
0 days 00:52:49.064000,11.4,89.0,984.6,True,15.9,249,2.4
0 days 00:53:49.082000,11.4,89.0,984.7,True,15.9,223,1.4
0 days 00:54:49.086000,11.4,89.0,984.6,True,15.8,237,2.3
0 days 00:55:49.083000,11.4,89.0,984.6,True,15.8,242,3.1
0 days 00:56:49.099000,11.4,89.0,984.7,True,15.7,207,3.2
0 days 00:57:49.100000,11.4,89.0,984.7,True,15.7,252,2.3
0 days 00:58:49.117000,11.4,89.0,984.8,True,15.7,261,3.2
0 days 00:59:49.132000,11.3,89.0,984.7,True,15.8,256,2.4
0 days 01:00:49.149000,11.2,89.0,984.8,True,15.8,228,2.7
0 days 01:01:49.164000,11.2,89.0,984.7,True,16.4,229,2.4
0 days 01:02:49.181000,11.3,89.0,984.9,True,16.6,240,3.2
0 days 01:03:49.181000,11.3,88.0,984.8,True,16.7,241,2.6
0 days 01:04:49.201000,11.3,89.0,984.8,True,16.7,264,3.1
0 days 01:05:49.200000,11.3,89.0,984.9,True,16.9,277,2.9
0 days 01:06:49.215000,11.3,88.0,984.8,True,17.0,252,2.2
0 days 01:07:49.216000,11.4,89.0,984.9,True,17.2,232,2.3
0 days 01:08:49.217000,11.4,89.0,984.9,True,17.5,229,1.5
0 days 01:09:49.217000,11.5,89.0,984.9,True,17.5,229,1.5
0 days 01:10:49.219000,11.6,88.0,984.8,True,17.6,269,1.6
0 days 01:11:49.244000,11.6,89.0,984.9,True,17.7,215,1.5
0 days 01:12:49.265000,11.6,88.0,984.9,True,17.7,240,2.4
0 days 01:13:49.265000,11.4,87.0,984.9,True,17.5,238,2.5
0 days 01:14:49.268000,11.5,87.0,984.9,True,17.4,244,2.2
0 days 01:15:49.269000,11.6,88.0,985.0,True,17.2,238,1.6
0 days 01:16:49.253000,11.6,88.0,985.0,True,17.2,216,2.2
0 days 01:17:49.269000,11.6,88.0,985.0,True,17.0,272,1.8
0 days 01:18:49.302000,11.6,87.0,985.0,True,16.9,255,2.5
0 days 01:19:49.286000,11.5,87.0,985.0,True,16.5,258,3.0
0 days 01:20:49.318000,11.5,88.0,985.0,True,16.3,242,2.9
0 days 01:21:49.309000,11.5,89.0,985.1,True,16.0,0,1.4
