Time,AirTemp,Humidity,Pressure,Rainfall,TrackTemp,WindDirection,WindSpeed
0 days 00:00:18.104000,17.5,70.0,988.4,False,27.1,234,1.0
0 days 00:01:18.115000,17.5,71.0,988.5,False,27.2,212,1.2
0 days 00:02:18.116000,17.5,71.0,988.5,False,27.5,191,1.9
0 days 00:03:18.101000,17.5,71.0,988.4,False,27.6,209,2.1
0 days 00:04:18.117000,17.5,72.0,988.5,False,27.8,209,2.1
0 days 00:05:18.133000,17.5,71.0,988.4,False,27.9,204,1.7
0 days 00:06:18.122000,17.5,71.0,988.4,False,28.1,257,1.6
0 days 00:07:18.150000,17.5,70.0,988.4,False,27.8,269,1.5
0 days 00:08:18.167000,17.6,72.0,988.3,False,28.3,221,1.1
0 days 00:09:18.166000,17.8,70.0,988.4,False,28.7,222,1.3
0 days 00:10:18.169000,17.8,71.0,988.3,False,28.6,214,1.3
0 days 00:11:18.169000,17.9,71.0,988.4,False,29.0,226,1.7
0 days 00:12:18.152000,17.9,70.0,988.4,False,29.2,275,1.9
0 days 00:13:18.172000,18.0,70.0,988.3,False,29.2,213,1.8
0 days 00:14:18.173000,18.0,70.0,988.3,False,29.1,232,1.4
0 days 00:15:18.174000,18.0,70.0,988.2,False,29.1,270,2.0
0 days 00:16:18.171000,18.1,71.0,988.1,False,29.8,230,1.9
0 days 00:17:18.172000,18.0,70.0,988.1,False,29.8,228,1.8
0 days 00:18:18.188000,18.0,70.0,988.1,False,29.8,217,1.8
0 days 00:19:18.192000,18.2,70.0,988.1,False,29.8,233,2.0
0 days 00:20:18.206000,18.3,70.0,987.9,False,29.8,183,1.3
0 days 00:21:18.203000,18.3,70.0,987.9,False,30.4,185,1.1
0 days 00:22:18.225000,18.3,70.0,987.9,False,30.6,225,1.6
0 days 00:23:18.222000,18.3,69.0,987.8,False,30.5,241,1.6
0 days 00:24:18.227000,18.3,68.0,987.9,False,30.1,213,0.6
0 days 00:25:18.231000,18.2,68.0,987.9,False,29.8,227,1.4
0 days 00:26:18.226000,18.2,69.0,987.9,False,29.3,167,0.6
0 days 00:27:18.241000,18.2,69.0,987.9,False,29.3,225,0.6
0 days 00:28:18.228000,18.3,69.0,987.9,False,30.1,250,0.7
0 days 00:29:18.272000,18.5,69.0,987.8,False,30.7,217,0.5
0 days 00:30:18.276000,18.6,68.0,987.8,False,31.2,214,0.7
0 days 00:31:18.293000,18.7,68.0,987.8,False,30.6,284,1.3
0 days 00:32:18.291000,18.6,66.0,987.8,False,30.1,0,1.3
0 days 00:33:18.308000,18.5,67.0,987.8,False,30.1,219,1.4
0 days 00:34:18.329000,18.5,66.0,987.7,False,30.2,251,2.1
0 days 00:35:18.357000,18.5,65.0,987.7,False,30.2,259,2.3
0 days 00:36:18.388000,18.5,65.0,987.7,False,30.4,197,1.2
0 days 00:37:18.379000,18.5,65.0,987.7,False,30.7,227,1.8
0 days 00:38:18.390000,18.5,66.0,987.8,False,30.6,193,1.6
0 days 00:39:18.390000,18.5,66.0,987.7,False,30.6,204,0.8
0 days 00:40:18.392000,18.5,67.0,987.8,False,31.2,205,1.6
0 days 00:41:18.392000,18.5,68.0,987.7,False,31.6,233,1.6
0 days 00:42:18.407000,18.6,67.0,987.8,False,32.1,238,2.1
0 days 00:43:18.397000,18.8,68.0,987.7,False,32.2,225,2.2
0 days 00:44:18.394000,18.9,67.0,987.7,False,32.4,218,2.4
0 days 00:45:18.413000,18.8,66.0,987.8,False,32.4,200,2.2
0 days 00:46:18.402000,18.8,65.0,987.9,False,32.7,227,2.9
0 days 00:47:18.397000,18.8,65.0,987.8,False,31.3,229,2.6
0 days 00:48:18.413000,18.8,65.0,987.7,False,31.2,232,2.2
0 days 00:49:18.428000,18.8,66.0,987.7,False,31.7,274,2.2
0 days 00:50:18.445000,18.8,65.0,987.8,False,31.7,235,2.0
0 days 00:51:18.447000,18.8,65.0,987.8,False,31.2,236,1.7
0 days 00:52:18.454000,18.8,67.0,987.8,False,31.0,190,2.0
0 days 00:53:18.468000,18.8,67.0,987.8,False,31.0,231,1.7
0 days 00:54:18.484000,18.8,65.0,987.8,False,30.9,206,1.1
0 days 00:55:18.511000,18.8,62.0,987.9,False,30.5,228,1.8
0 days 00:56:18.526000,18.6,61.0,987.7,False,30.0,216,2.0
0 days 00:57:18.526000,18.6,62.0,987.7,False,29.9,230,2.3
0 days 00:58:18.536000,18.6,62.0,987.8,False,29.6,190,2.3
0 days 00:59:18.560000,18.5,63.0,987.7,False,29.6,196,2.5
0 days 01:00:18.578000,18.6,64.0,987.7,False,29.6,226,2.4
0 days 01:01:18.565000,18.6,65.0,987.7,False,29.4,227,2.8
0 days 01:02:18.577000,18.6,64.0,987.7,False,29.3,214,2.0
0 days 01:03:18.587000,18.8,63.0,987.7,False,29.2,217,2.6
0 days 01:04:18.595000,18.6,64.0,987.7,False,28.8,217,2.5
0 days 01:05:18.594000,18.6,64.0,987.7,False,28.8,228,2.0
0 days 01:06:18.598000,18.6,64.0,987.7,False,28.6,239,2.8
0 days 01:07:18.600000,18.5,65.0,987.6,True,28.4,240,2.3
0 days 01:08:18.614000,18.6,65.0,987.7,True,28.3,243,2.3
0 days 01:09:18.618000,18.5,66.0,987.6,True,27.8,261,2.2
0 days 01:10:18.630000,18.5,66.0,987.6,True,27.5,220,1.2
0 days 01:11:18.632000,18.6,66.0,987.6,True,26.8,224,2.0
0 days 01:12:18.662000,18.5,68.0,987.6,True,26.4,243,1.8
0 days 01:13:18.663000,18.3,67.0,987.5,True,26.0,234,2.2
0 days 01:14:18.665000,18.2,68.0,987.6,True,25.8,250,1.4
0 days 01:15:18.648000,18.1,69.0,987.5,True,25.7,249,1.4
0 days 01:16:18.666000,18.0,69.0,987.5,True,25.4,196,1.7
0 days 01:17:18.665000,18.0,70.0,987.4,True,25.2,239,1.7
0 days 01:18:18.666000,17.9,71.0,987.5,True,25.1,252,0.9
0 days 01:19:18.668000,17.9,74.0,987.5,True,25.0,235,1.3
0 days 01:20:18.667000,17.9,73.0,987.5,True,25.0,289,0.7
