Driver,LapNumber,Compound,TyreLife,LapTimeSeconds
33,60,HARD,20,73.275
44,72,SOFT,3,71.097
77,69,SOFT,3,72.549
10,57,MEDIUM,33,74.818
16,58,HARD,24,74.78
14,60,MEDIUM,27,74.323
55,45,HARD,14,75.26
11,59,SOFT,12,73.461
31,54,MEDIUM,23,74.675
4,48,HARD,6,74.236
3,59,HARD,29,74.92
18,57,HARD,30,75.611
5,63,MEDIUM,19,73.958
99,66,HARD,33,75.125
88,44,HARD,4,75.442
6,25,HARD,2,75.79
63,57,HARD,30,75.628
47,36,MEDIUM,6,75.927
22,44,MEDIUM,13,75.783
9,35,HARD,2,76.066
