Time,Driver,DriverNumber,LapTime,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Position,Deleted,DeletedReason,FastF1Generated,IsAccurate
0 days 00:20:37.676000,VER,1,,1.0,1.0,0 days 00:18:38.712000,,,0 days 00:00:50.116000,0 days 00:00:33.737000,,0 days 00:20:04.197000,0 days 00:20:37.858000,274.0,223.0,193.0,261.0,False,INTERMEDIATE,1.0,True,Red Bull Racing,0 days 00:18:38.712000,2024-07-06 10:33:42.374,1,,None,,False,False
0 days 00:22:27.504000,VER,1,0 days 00:01:49.828000,2.0,1.0,,,0 days 00:00:33.903000,0 days 00:00:42.898000,0 days 00:00:33.027000,0 days 00:21:11.579000,0 days 00:21:54.477000,0 days 00:22:27.504000,287.0,241.0,200.0,289.0,True,INTERMEDIATE,2.0,True,Red Bull Racing,0 days 00:20:37.676000,2024-07-06 10:35:41.338,12,,None,,False,True
0 days 00:29:08.972000,VER,1,,3.0,1.0,,0 days 00:24:34.781000,,,,,,,,,,,False,INTERMEDIATE,3.0,True,Red Bull Racing,0 days 00:22:27.504000,2024-07-06 10:37:31.166,251,,None,,False,False
0 days 00:31:00.162000,VER,1,,4.0,2.0,0 days 00:29:08.972000,,,0 days 00:00:45.770000,0 days 00:00:31.074000,,0 days 00:30:29.263000,0 days 00:31:00.185000,276.0,229.0,199.0,262.0,False,INTERMEDIATE,2.0,False,Red Bull Racing,0 days 00:29:08.972000,2024-07-06 10:44:12.634,1,,None,,False,False
0 days 00:32:46.711000,VER,1,0 days 00:01:46.549000,5.0,2.0,,,0 days 00:00:33.668000,0 days 00:00:42.565000,0 days 00:00:30.316000,0 days 00:31:33.830000,0 days 00:32:16.395000,0 days 00:32:46.711000,285.0,234.0,211.0,269.0,True,INTERMEDIATE,3.0,False,Red Bull Racing,0 days 00:31:00.162000,2024-07-06 10:46:03.824,1,,None,,False,True
0 days 00:34:28.411000,VER,1,0 days 00:01:41.700000,6.0,2.0,,,0 days 00:00:32.611000,0 days 00:00:40.959000,0 days 00:00:28.130000,0 days 00:33:19.322000,0 days 00:34:00.281000,0 days 00:34:28.411000,289.0,244.0,221.0,291.0,True,INTERMEDIATE,4.0,False,Red Bull Racing,0 days 00:32:46.711000,2024-07-06 10:47:50.373,12,,None,,False,True
0 days 00:36:08.730000,VER,1,0 days 00:01:40.319000,7.0,2.0,,,0 days 00:00:32.042000,0 days 00:00:40.556000,0 days 00:00:27.721000,0 days 00:35:00.453000,0 days 00:35:41.009000,0 days 00:36:08.730000,,246.0,223.0,291.0,True,INTERMEDIATE,5.0,False,Red Bull Racing,0 days 00:34:28.411000,2024-07-06 10:49:32.073,1,,None,,False,True
0 days 00:38:10.222000,VER,1,0 days 00:02:01.492000,8.0,2.0,,,0 days 00:00:39.083000,0 days 00:00:46.489000,0 days 00:00:35.920000,0 days 00:36:47.813000,0 days 00:37:34.302000,0 days 00:38:10.222000,246.0,234.0,215.0,272.0,False,INTERMEDIATE,6.0,False,Red Bull Racing,0 days 00:36:08.730000,2024-07-06 10:51:12.392,1,,None,,False,True
0 days 00:39:49.034000,VER,1,0 days 00:01:38.812000,9.0,2.0,,,0 days 00:00:31.609000,0 days 00:00:39.896000,0 days 00:00:27.307000,0 days 00:38:41.831000,0 days 00:39:21.727000,0 days 00:39:49.034000,291.0,248.0,227.0,293.0,True,INTERMEDIATE,7.0,False,Red Bull Racing,0 days 00:38:10.222000,2024-07-06 10:53:13.884,1,,None,,False,True
0 days 00:41:43.845000,VER,1,0 days 00:01:54.811000,10.0,2.0,,0 days 00:41:37.916000,0 days 00:00:36.576000,0 days 00:00:49.958000,0 days 00:00:28.277000,0 days 00:40:25.610000,0 days 00:41:15.568000,0 days 00:41:43.845000,222.0,226.0,,268.0,False,INTERMEDIATE,8.0,False,Red Bull Racing,0 days 00:39:49.034000,2024-07-06 10:54:52.696,1,,None,,False,False
