Time,Driver,DriverNumber,LapTime,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Position,Deleted,DeletedReason,FastF1Generated,IsAccurate
0 days 00:16:30.625000,VER,1,,1.0,1.0,0 days 00:14:44.460000,,,0 days 00:00:41.946000,0 days 00:00:33.753000,,0 days 00:15:56.965000,0 days 00:16:30.690000,286.0,244.0,246.0,216.0,False,HARD,1.0,True,Red Bull Racing,0 days 00:14:44.460000,2024-07-05 11:31:21.071,1,,None,,False,False
0 days 00:18:00.531000,VER,1,0 days 00:01:29.906000,2.0,1.0,,,0 days 00:00:28.837000,0 days 00:00:36.496000,0 days 00:00:24.573000,0 days 00:16:59.462000,0 days 00:17:35.958000,0 days 00:18:00.531000,314.0,262.0,247.0,323.0,True,HARD,2.0,True,Red Bull Racing,0 days 00:16:30.625000,2024-07-05 11:33:07.236,12,,None,,False,True
0 days 00:20:22.271000,VER,1,0 days 00:02:21.740000,3.0,1.0,,,0 days 00:00:46.460000,0 days 00:00:51.104000,0 days 00:00:44.176000,0 days 00:18:46.991000,0 days 00:19:38.095000,0 days 00:20:22.271000,161.0,218.0,246.0,130.0,False,HARD,3.0,True,Red Bull Racing,0 days 00:18:00.531000,2024-07-05 11:34:37.142,1,,None,,False,True
0 days 00:21:51.320000,VER,1,0 days 00:01:29.049000,4.0,1.0,,,0 days 00:00:28.681000,0 days 00:00:36.145000,0 days 00:00:24.223000,0 days 00:20:50.952000,0 days 00:21:27.097000,0 days 00:21:51.320000,315.0,264.0,249.0,321.0,True,HARD,4.0,True,Red Bull Racing,0 days 00:20:22.271000,2024-07-05 11:36:58.882,12,,None,,False,True
0 days 00:29:32.827000,VER,1,,5.0,1.0,,0 days 00:23:48.682000,,,,,,,,,,,False,HARD,5.0,True,Red Bull Racing,0 days 00:21:51.320000,2024-07-05 11:38:27.931,251,,None,,False,False
0 days 00:31:14.837000,VER,1,,6.0,2.0,0 days 00:29:32.827000,,,0 days 00:00:38.925000,0 days 00:00:33.496000,,0 days 00:30:41.528000,0 days 00:31:14.867000,296.0,250.0,250.0,283.0,False,HARD,6.0,False,Red Bull Racing,0 days 00:29:32.827000,2024-07-05 11:46:09.438,1,,None,,False,False
0 days 00:32:43.207000,VER,1,0 days 00:01:28.370000,7.0,2.0,,,0 days 00:00:28.364000,0 days 00:00:35.864000,0 days 00:00:24.142000,0 days 00:31:43.201000,0 days 00:32:19.065000,0 days 00:32:43.207000,315.0,265.0,249.0,322.0,True,HARD,7.0,False,Red Bull Racing,0 days 00:31:14.837000,2024-07-05 11:47:51.448,1,,None,,False,True
0 days 00:34:22.841000,VER,1,0 days 00:01:39.634000,8.0,2.0,,0 days 00:34:16.799000,0 days 00:00:32.501000,0 days 00:00:39.869000,0 days 00:00:27.264000,0 days 00:33:15.708000,0 days 00:33:55.577000,0 days 00:34:22.841000,261.0,249.0,,281.0,False,HARD,8.0,False,Red Bull Racing,0 days 00:32:43.207000,2024-07-05 11:49:19.818,1,,None,,False,False
0 days 00:46:06.980000,VER,1,,9.0,3.0,0 days 00:44:26.657000,,,0 days 00:00:41.649000,0 days 00:00:27.526000,,0 days 00:45:39.656000,0 days 00:46:06.980000,231.0,237.0,252.0,278.0,False,MEDIUM,1.0,True,Red Bull Racing,0 days 00:34:22.841000,2024-07-05 11:50:59.452,1,,None,,False,False
0 days 00:47:34.744000,VER,1,0 days 00:01:27.764000,10.0,3.0,,,0 days 00:00:28.262000,0 days 00:00:35.582000,0 days 00:00:23.920000,0 days 00:46:35.242000,0 days 00:47:10.824000,0 days 00:47:34.744000,313.0,264.0,249.0,321.0,True,MEDIUM,2.0,True,Red Bull Racing,0 days 00:46:06.980000,2024-07-05 12:02:43.591,1,,None,,False,True
