Time,Driver,DriverNumber,LapTime,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Position,Deleted,DeletedReason,FastF1Generated,IsAccurate
0 days 00:52:57.117000,PIA,81,0 days 00:01:31.859000,14.0,4.0,,,0 days 00:00:29.523000,0 days 00:00:37.109000,0 days 00:00:25.227000,0 days 00:51:54.781000,0 days 00:52:31.890000,0 days 00:52:57.117000,294.0,256.0,244.0,303.0,False,SOFT,6.0,False,McLaren,0 days 00:51:25.258000,2024-07-05 15:37:52.465,1,,None,,False,True
0 days 00:54:29.186000,PIA,81,0 days 00:01:32.069000,15.0,4.0,,,0 days 00:00:29.594000,0 days 00:00:37.235000,0 days 00:00:25.240000,0 days 00:53:26.711000,0 days 00:54:03.946000,0 days 00:54:29.186000,297.0,256.0,245.0,304.0,False,SOFT,7.0,False,McLaren,0 days 00:52:57.117000,2024-07-05 15:39:24.324,1,,None,,False,True
0 days 00:56:01.588000,PIA,81,0 days 00:01:32.402000,16.0,4.0,,,0 days 00:00:29.619000,0 days 00:00:37.409000,0 days 00:00:25.374000,0 days 00:54:58.805000,0 days 00:55:36.214000,0 days 00:56:01.588000,299.0,255.0,243.0,305.0,False,SOFT,8.0,False,McLaren,0 days 00:54:29.186000,2024-07-05 15:40:56.393,1,,None,,False,True
0 days 00:57:34.427000,PIA,81,0 days 00:01:32.839000,17.0,4.0,,,0 days 00:00:29.824000,0 days 00:00:37.435000,0 days 00:00:25.580000,0 days 00:56:31.412000,0 days 00:57:08.847000,0 days 00:57:34.427000,,256.0,243.0,305.0,False,SOFT,9.0,False,McLaren,0 days 00:56:01.588000,2024-07-05 15:42:28.795,1,,None,,False,True
0 days 00:59:07.847000,PIA,81,0 days 00:01:33.420000,18.0,4.0,,,0 days 00:00:29.936000,0 days 00:00:37.616000,0 days 00:00:25.868000,0 days 00:58:04.363000,0 days 00:58:41.979000,0 days 00:59:07.847000,297.0,255.0,243.0,302.0,False,SOFT,10.0,False,McLaren,0 days 00:57:34.427000,2024-07-05 15:44:01.634,1,,None,,False,True
0 days 01:00:40.258000,PIA,81,0 days 00:01:32.411000,19.0,4.0,,0 days 01:00:34.225000,0 days 00:00:29.784000,0 days 00:00:37.758000,0 days 00:00:24.869000,0 days 00:59:37.631000,0 days 01:00:15.389000,0 days 01:00:40.258000,,253.0,,304.0,False,SOFT,11.0,False,McLaren,0 days 00:59:07.847000,2024-07-05 15:45:35.054,1,,None,,False,False
0 days 01:02:36.740000,PIA,81,0 days 00:01:56.482000,20.0,5.0,0 days 01:01:02.869000,,0 days 00:00:49.931000,0 days 00:00:37.605000,0 days 00:00:28.946000,0 days 01:01:30.189000,0 days 01:02:07.794000,0 days 01:02:36.740000,299.0,258.0,246.0,300.0,False,MEDIUM,9.0,False,McLaren,0 days 01:00:40.258000,2024-07-05 15:47:07.465,1,,None,,False,False
0 days 01:04:08.562000,PIA,81,0 days 00:01:31.822000,21.0,5.0,,,0 days 00:00:29.446000,0 days 00:00:37.102000,0 days 00:00:25.274000,0 days 01:03:06.186000,0 days 01:03:43.288000,0 days 01:04:08.562000,296.0,258.0,246.0,302.0,False,MEDIUM,10.0,False,McLaren,0 days 01:02:36.740000,2024-07-05 15:49:03.947,1,,None,,False,True
0 days 01:05:40.590000,PIA,81,0 days 00:01:32.028000,22.0,5.0,,,0 days 00:00:29.566000,0 days 00:00:37.156000,0 days 00:00:25.306000,0 days 01:04:38.128000,0 days 01:05:15.284000,0 days 01:05:40.590000,298.0,256.0,244.0,307.0,False,MEDIUM,11.0,False,McLaren,0 days 01:04:08.562000,2024-07-05 15:50:35.769,1,,None,,False,True
0 days 01:07:13.708000,PIA,81,0 days 00:01:33.118000,23.0,5.0,,,0 days 00:00:29.550000,0 days 00:00:37.610000,0 days 00:00:25.958000,0 days 01:06:10.140000,0 days 01:06:47.750000,0 days 01:07:13.708000,313.0,258.0,246.0,324.0,False,MEDIUM,12.0,False,McLaren,0 days 01:05:40.590000,2024-07-05 15:52:07.797,1,,None,,False,True
0 days 01:08:47.263000,PIA,81,0 days 00:01:33.555000,24.0,5.0,,0 days 01:08:41.229000,0 days 00:00:29.783000,0 days 00:00:38.043000,0 days 00:00:25.729000,0 days 01:07:43.491000,0 days 01:08:21.534000,0 days 01:08:47.263000,311.0,252.0,,299.0,False,MEDIUM,13.0,False,McLaren,0 days 01:07:13.708000,2024-07-05 15:53:40.915,1,,None,,False,False
