Driver,LapNumber,Compound,TyreLife,LapTimeSeconds
1,56,MEDIUM,5,84.319
81,48,HARD,5,84.921
4,47,HARD,3,84.842
63,35,HARD,3,85.77
16,57,MEDIUM,14,84.992
14,57,MEDIUM,13,86.045
31,42,HARD,17,86.45
77,54,HARD,16,86.652
24,54,SOFT,2,86.323
11,50,MEDIUM,7,86.22
18,55,MEDIUM,16,86.352
10,49,MEDIUM,5,86.31
23,57,HARD,13,86.666
20,46,HARD,7,87.067
22,55,HARD,15,87.174
27,45,HARD,6,86.489
40,54,MEDIUM,15,87.113
2,31,HARD,5,87.983
