Driver,LapNumber,Compound,TyreLife,LapTimeSeconds
1,56,MEDIUM,11,89.708
11,57,HARD,37,90.56
14,57,HARD,34,90.519
63,57,HARD,40,91.015
55,55,HARD,37,91.362
44,57,MEDIUM,20,90.669
16,57,HARD,40,91.434
10,55,HARD,40,91.971
31,56,MEDIUM,17,91.143
20,53,HARD,39,91.691
22,56,MEDIUM,20,91.038
18,44,MEDIUM,3,90.862
77,56,HARD,41,91.838
23,55,HARD,33,91.852
27,36,MEDIUM,3,90.901
24,56,MEDIUM,25,91.736
4,47,HARD,43,92.401
21,57,HARD,42,91.562
81,56,HARD,51,92.006
2,50,HARD,48,92.384
