Driver,LapNumber,Compound,TyreLife,LapTimeSeconds
1,44,HARD,8,96.236
11,37,HARD,3,96.344
14,36,HARD,2,96.156
55,37,HARD,6,97.13
44,36,HARD,6,96.546
18,32,HARD,2,96.546
63,33,HARD,2,97.221
77,31,HARD,2,97.379
10,42,SOFT,2,95.068
23,43,SOFT,3,97.144
22,42,SOFT,5,96.637
2,42,SOFT,2,96.037
20,42,SOFT,2,96.471
21,30,HARD,3,97.709
27,42,SOFT,5,96.616
24,56,SOFT,5,93.996
4,51,SOFT,8,95.822
31,34,HARD,2,96.797
16,37,HARD,4,97.17
81,3,SOFT,3,100.691
